Place,Population,Per Capita Income,Poverty Count,Poverty Rate
"Autauga County, Alabama",55380,29819,24522,38.2%
"Baldwin County, Alabama",212830,32626,95091,43%
"Barbour County, Alabama",25361,18473,8413,40.4%
"Bibb County, Alabama",22493,20778,8387,40.9%
"Blount County, Alabama",57681,24747,21917,40.7%
"Bullock County, Alabama",10248,20877,4319,40.2%
"Butler County, Alabama",19828,21038,7930,40.8%
"Calhoun County, Alabama",114618,25345,47896,39.6%
"Chambers County, Alabama",33660,22729,14877,42%
"Cherokee County, Alabama",25903,24301,9980,46.5%
"Chilton County, Alabama",44055,24658,17526,38.7%
"Choctaw County, Alabama",12925,22308,4173,46.3%
"Clarke County, Alabama",24128,22225,7770,42.5%
"Clay County, Alabama",13337,23519,5527,43.3%
"Cleburne County, Alabama",14916,23142,5707,43.1%
"Coffee County, Alabama",51662,27806,21907,39.3%
"Colbert County, Alabama",54771,25536,22832,42.4%
"Conecuh County, Alabama",12394,19769,4232,44.8%
"Coosa County, Alabama",10757,23694,4202,48.4%
"Covington County, Alabama",37200,23687,14822,43.3%
"Crenshaw County, Alabama",13844,24563,5668,41.7%
"Cullman County, Alabama",82853,23468,34228,40.8%
"Dale County, Alabama",49277,24645,17994,37.3%
"Dallas County, Alabama",39149,19612,14347,39.6%
"DeKalb County, Alabama",71310,21907,29639,39.5%
"Elmore County, Alabama",81144,29052,34180,38.7%
"Escambia County, Alabama",37057,19028,12786,40%
"Etowah County, Alabama",102748,24883,42650,41.4%
"Fayette County, Alabama",16494,22483,6337,43.7%
"Franklin County, Alabama",31466,21641,12840,38.6%
"Geneva County, Alabama",26417,21711,10294,43.2%
"Greene County, Alabama",8324,14884,2396,40.9%
"Hale County, Alabama",14809,21191,5355,40.5%
"Henry County, Alabama",17133,25276,6920,44.4%
"Houston County, Alabama",104702,27097,44374,40.1%
"Jackson County, Alabama",51852,22596,20352,43.1%
"Jefferson County, Alabama",659680,32098,304994,37.7%
"Lamar County, Alabama",13885,22636,5244,44.8%
"Lauderdale County, Alabama",92556,28033,40287,41%
"Lawrence County, Alabama",33058,23450,12445,42.4%
"Lee County, Alabama",161152,27860,74770,31.9%
"Limestone County, Alabama",94727,28411,40510,39.7%
"Lowndes County, Alabama",10079,20209,3430,42%
"Macon County, Alabama",18708,20419,7064,38.6%
"Madison County, Alabama",362276,36620,176910,38.5%
"Marengo County, Alabama",19321,25635,6778,42.2%
"Marion County, Alabama",29866,21311,11851,44.3%
"Marshall County, Alabama",95643,24453,39193,38.8%
"Mobile County, Alabama",414114,25861,174519,37.9%
"Monroe County, Alabama",21270,20527,6423,43.3%
"Montgomery County, Alabama",226941,29071,101013,36.4%
"Morgan County, Alabama",119213,27367,51903,40.6%
"Perry County, Alabama",9293,15055,2571,36.9%
"Pickens County, Alabama",20243,23024,7017,42.2%
"Pike County, Alabama",33333,22453,13992,31.2%
"Randolph County, Alabama",22647,24721,8764,43.4%
"Russell County, Alabama",57952,23470,23616,36.3%
"St. Clair County, Alabama",87989,26409,38507,40.3%
"Shelby County, Alabama",213432,38549,106839,39.3%
"Sumter County, Alabama",12797,16799,4291,35.6%
"Talladega County, Alabama",80387,23305,31166,41.3%
"Tallapoosa County, Alabama",40541,25217,15119,44.7%
"Tuscaloosa County, Alabama",207305,26789,93667,33%
"Walker County, Alabama",64110,23882,24414,42.1%
"Washington County, Alabama",16541,26752,5582,43.7%
"Wilcox County, Alabama",10681,16841,2995,40.5%
"Winston County, Alabama",23784,22952,9120,45.2%
"Aleutians East Borough, Alaska",3385,33939,2306,42.5%
"Aleutians West Census Area, Alaska",5698,39647,3830,38.6%
"Anchorage Municipality, Alaska",293531,41415,148021,33.6%
"Bethel Census Area, Alaska",18134,19885,6243,27.3%
"Bristol Bay Borough, Alaska",875,44168,468,42.9%
"Denali Borough, Alaska",2246,34365,1508,42.1%
"Dillingham Census Area, Alaska",4961,25993,2030,30.2%
"Fairbanks North Star Borough, Alaska",99072,37025,45538,31.3%
"Haines Borough, Alaska",2518,31731,1181,44.7%
"Hoonah-Angoon Census Area, Alaska",2139,36091,1030,49.6%
"Juneau City and Borough, Alaska",32227,43680,17132,38.1%
"Kenai Peninsula Borough, Alaska",58464,34226,25314,40.8%
"Ketchikan Gateway Borough, Alaska",13800,37590,7116,39.7%
"Kodiak Island Borough, Alaska",13451,32876,6680,33.9%
"Kusilvak Census Area, Alaska",8250,13762,2192,24.1%
"Lake and Peninsula Borough, Alaska",1393,24836,653,34.8%
"Matanuska-Susitna Borough, Alaska",105369,31232,43782,35.2%
"Nome Census Area, Alaska",9988,23581,3693,28.3%
"North Slope Borough, Alaska",9792,48730,5404,35.2%
"Northwest Arctic Borough, Alaska",7715,23780,2619,27.8%
"Petersburg Borough, Alaska",3257,36112,1653,42.8%
"Prince of Wales-Hyder Census Area, Alaska",6407,27080,2753,41.3%
"Sitka City and Borough, Alaska",8640,39615,4629,39.5%
"Skagway Municipality, Alaska",1107,39453,738,40.4%
"Southeast Fairbanks Census Area, Alaska",6878,32193,2801,36.8%
"Valdez-Cordova Census Area, Alaska",9243,38907,4846,38.1%
"Wrangell City and Borough, Alaska",2502,32286,1085,49.4%
"Yakutat City and Borough, Alaska",649,32198,339,36.9%
"Yukon-Koyukuk Census Area, Alaska",5377,22718,2190,35.2%
"Apache County, Arizona",71511,15128,18400,35%
"Cochise County, Arizona",125867,26819,43760,41.1%
"Coconino County, Arizona",141274,27339,66820,30.7%
"Gila County, Arizona",53546,24251,18695,50.2%
"Graham County, Arizona",37996,18683,13104,33.6%
"Greenlee County, Arizona",9522,25780,3870,34.5%
"La Paz County, Arizona",20793,22879,6160,56.5%
"Maricopa County, Arizona",4328810,33279,2068218,36.4%
"Mohave County, Arizona",207695,26166,72932,51.6%
"Navajo County, Arizona",109270,18935,33415,37.3%
"Pima County, Arizona",1027207,29707,446383,38.5%
"Pinal County, Arizona",432793,24959,157798,39.3%
"Santa Cruz County, Arizona",46480,21480,17163,36.7%
"Yavapai County, Arizona",228067,30341,88037,53.4%
"Yuma County, Arizona",209468,21758,75903,34.6%
"Arkansas County, Arkansas",17914,26386,7864,40.7%
"Ashley County, Arkansas",20270,23391,7796,41.7%
"Baxter County, Arkansas",41427,26863,16051,52.2%
"Benton County, Arkansas",265759,34442,129785,35.4%
"Boone County, Arkansas",37331,24727,16174,42.3%
"Bradley County, Arkansas",10874,22945,4091,40.6%
"Calhoun County, Arkansas",5192,23688,2111,44.5%
"Carroll County, Arkansas",27965,25295,12013,45%
"Chicot County, Arkansas",10615,20232,3282,43.3%
"Clark County, Arkansas",22386,21337,10575,33.7%
